,ARG,ABW,AUS,AUT,BHS,BHR,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
AFG,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
ALB,0,0,0,0,,,8,0,,,0,,0,0,,,,0,0,0,,0,,75,0,15,,0,,,0,0,,45,22,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,1,,,C,10,0,,
DZA,0,0,0,3,,,0,1,,,0,,0,0,,,,1,0,0,,0,,8,0,,48,0,,,0,0,,0,0,,,0,,17,,,,0,,,0,,,0,,,0,,,,,,0,0,,,39,,0,,
ASM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,0,0,,,0,0,,0,,,,0,,31,,,,19,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
AND,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,5,0,,,0,0,,0,24,,,0,,2,,,,1,,,1,,,0,,,0,,,,,,4,0,,,0,,0,,
AGO,0,0,0,0,,,0,0,0,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,9,,0,,,,,,0,0,,,0,,0,,
AIA,0,0,0,0,,,0,0,,,0,,0,0,,,,1,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,9,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
ATG,0,0,0,0,,,0,9,2,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,63,,,0,,0,,,,0,2,,0,,,0,,,0,,,,,,,0,,,C,,0,,
ARG,,0,0,291,153,225,232,77,118,0,358,"1,038",15,0,5,9,2,-2,0,826,,0,,530,"1,116",1,10,0,2,,41,42,,"9,457","1,934",32,,0,2,"1,081",,1,0,358,70,0,2,32,9,0,8,,0,0,,,464,10,336,0,0,,"1,385","4,713",169,,3
ARM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,0,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,,0,,
