,ARG,ABW,AUS,AUT,BHS,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
AFG,0,0,,0,,0,0,,,0,0,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
ALB,0,0,,0,,8,0,,,0,,0,,,0,,0,,0,,0,,27,0,19,0,0,,,,,,45,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,1,,,C,6,0,,
DZA,0,0,,3,,0,0,,,1,0,0,,,0,,0,,1,,0,,42,0,,,0,,,11,,,0,0,,,0,,10,,,,0,,,,,,,,,,0,,,0,0,,1,0,,,C,,0,,
ASM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,0,0,,,,,,0,,,,0,,10,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,,0,,
AND,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,6,0,,9,0,,,,,,0,73,,,0,,0,,,,24,,,0,,,,,,,0,,1,0,0,,0,0,,,0,0,0,,
AGO,0,0,,0,,0,0,0,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,16,,0,,,0,0,,0,0,,,0,0,0,,
AIA,0,0,,0,,1,0,,,0,,0,,,0,,1,,0,,0,,1,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
ATG,0,0,,0,,0,0,4,,0,,0,,,0,,0,,1,,0,,0,0,,,0,,,,,,0,3,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
ARG,,0,1,207,31,220,53,66,0,208,331,16,2,5,7,1,0,,238,,0,,379,"1,378",,8,0,0,,38,0,,"4,363","1,855",18,,0,1,342,0,,0,296,88,,9,,42,4,,0,,1,,,0,77,12,290,0,1,,C,"3,615",38,,3
ARM,0,0,,0,,0,0,,,0,0,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,1,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
