,ARG,ABW,AUS,AUT,BHS,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
AFG,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
ALB,0,0,,0,,,8,0,,,0,,0,,,,,0,,0,,,,17,0,33,,,,,18,0,,29,0,,,0,,,1,,,,,14,,,,,,,0,,,0,,,0,0,0,1,0,,,0,4,0,,0
DZA,0,0,,3,,,0,0,,,2,,0,,,,,0,,0,,,,15,0,0,0,,,,13,0,,0,0,7,,0,,0,6,,,,,4,,,,,,,0,,,0,,,0,0,0,1,0,,,C,,0,,0
ASM,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,0,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,,0,,,0,,0,,0
AND,0,0,,0,,,32,0,,,0,,0,,,,,0,,0,,,,0,0,0,5,,,,,0,,0,2,,,0,,,0,,,,,0,,,,,,,0,,,0,,1,0,0,0,0,0,,,0,,0,,0
AGO,0,0,,0,,,0,0,0,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,20,,0,,,0,0,0,0,0,,,0,,0,,0
AIA,0,0,,0,,,19,0,,,0,,0,,,,,0,,0,,,,23,0,0,1,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,,0,,,0,0,0,,0
ATG,0,0,,0,,,0,0,19,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,11,,,,,,,0,,,0,,,0,0,0,,0,,,C,1,0,,0
ARG,,0,C,189,94,0,128,61,69,0,188,206,52,C,4,5,4,0,1,"1,617",,,,321,"1,298",0,102,0,0,,67,0,2,"4,331","1,843",12,,0,,1,"1,099",,,0,85,208,38,0,2,,12,8,0,0,,8,11,,0,133,9,341,0,1,,"1,321","4,315",71,,3
ARM,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
ABW,0,,,0,,,0,14,,,6,0,0,,,,,0,,0,,,,51,5,0,2,,,,,0,,4,0,37,,16,,0,13,,,,,416,42,,,,,,0,0,,0,,,0,0,1,6,0,,,C,906,0,,67
AUS,1,0,,"1,116",255,19,"1,635","1,972",1,,"4,457",551,42,"25,717",548,,0,298,31,615,5,2,377,"8,012","4,850",123,540,19,5,2,"10,784",84,157,"3,149","33,599","5,920",45,54,2,2,"19,914",57,82,-17,,"8,222",14,"3,770","2,272",,4,20,16,216,,0,"10,958",0,143,"1,814","1,596","5,852",162,,,"34,896","90,502",1,16,0
