,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,1,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
ALB,0,0,,0,0,0,,11,0,,0,0,,0,0,,0,,0,,0,,,,0,1,,11,,,,0,,15,,0,30,1,,,0,,0,48,,0,,,1,0,,5,,,0,0,0,,0,,0,0,0,,0,0,,,0,5,0,0
DZA,0,0,,1,0,0,,0,0,,0,1,,0,1,,0,,0,,0,,,,19,0,,,59,,,0,,19,,0,,0,6,,0,,0,1,,0,31,,10,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,C,C,0,0
ASM,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,0,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,,0,,,0,,0,0
AND,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,2,,,0,,0,,0,,2,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,2,0,0
AGO,0,0,,0,0,0,,0,0,0,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,0,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,C,0,0,0
AIA,0,0,,0,0,0,,0,0,,0,0,,0,C,,0,,1,,0,,,,36,0,,,2,,,0,,0,,0,0,0,,,0,,0,0,,0,0,,0,0,,,,1,0,0,0,,0,,0,0,0,,,0,,,10,2,0,0
ATG,0,0,,0,0,0,,0,0,4,0,0,,0,C,,0,,0,,0,,,,0,0,,,,,,0,,1,,0,0,0,,,0,,0,0,,0,,,10,0,,,,,0,0,0,,0,,0,0,0,0,,0,,,6,12,0,0
ARG,,0,13,147,107,0,7,136,20,72,0,108,56,37,12,4,2,4,30,0,253,,,,329,"1,174",,3,137,0,0,0,,74,0,2,"11,420","1,757",27,,0,,2,"1,355",0,0,7,261,693,42,,513,,7,11,0,0,,0,19,0,0,140,14,337,0,0,,"2,472","4,827",225,1
ARM,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,5,,0,0,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,8,,0,0,0,,0,0,,,0,0,0,0
ABW,0,,,4,0,0,,0,2,,0,7,10,0,23,0,0,,5,,0,,,,95,7,,,1,,,0,,0,,0,1,0,,,3,,0,38,,0,,,332,98,,,,,0,0,0,,0,,0,0,0,,8,0,,,347,"1,114",0,69
AUS,5,0,,"1,538",255,196,370,"2,033","2,679",1,0,"6,918",98,19,"31,062",699,0,2,522,61,683,3,12,563,"18,743","7,457",11,132,650,24,12,0,2,"13,245",93,148,"3,802","41,622","5,356",31,111,2,2,"24,346",147,140,129,196,"9,625",5,"4,533","2,899",,9,27,16,288,,25,"14,097",1,26,"4,410","3,357","7,299",219,0,,"53,658","103,412",2,4
AUT,31,0,420,,25,28,84,"8,398",393,296,17,651,379,31,"1,275",72,2,,216,"1,356",992,3,50,"3,398","25,210","63,564",0,"1,485","2,472",94,1,0,,"8,396",30,63,"7,571","11,816","3,523",56,7,1,16,"23,618",24,309,,,"14,885",12,7,"2,976",,,0,216,767,9,49,686,269,1,"3,240",857,"24,390",0,1,,"16,927","15,249",74,0
AZE,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,1,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,,0,0,0,0
BHS,0,0,,20,,0,,26,"2,674",317,0,67,178,0,799,4,0,,56,,90,7,,,"1,211",53,,,571,,,0,,74,9,0,396,"2,725",214,,0,8,22,667,,0,5,,99,133,,6,,139,1,0,236,,31,,0,2,68,19,"5,012",0,,,"1,033","2,652",0,0
BHR,0,0,,0,0,,,0,144,,0,0,,0,4,,0,,4,,0,28,,,0,4,,,3,,,0,,0,0,0,7,0,64,,0,"1,812",1,15,17,0,,,15,0,,6,,,0,0,0,,0,,0,0,0,,1,0,8,,C,C,0,0
BGD,0,0,,0,0,0,,0,0,,0,0,,0,92,,0,,0,,14,,,,0,0,,,3,,,0,,0,,0,,0,,,0,,0,0,,0,3,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,C,0,0,0
BRB,0,0,,0,22,0,,3,6,,0,2,,0,1,,0,,26,,0,,,,0,0,,,3,,,0,,19,,0,0,20,12,,0,,0,34,,0,,,0,0,,,,,0,0,0,,0,,0,0,7,6,0,0,,,126,256,0,0
BLR,0,0,,0,0,0,,8,0,,0,0,,0,0,,0,,0,,0,,0,0,0,0,,,,,0,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,52,,0,0,0,,0,0,,,0,0,0,0
BEL,2,0,529,"4,465",4,14,270,,455,76,20,"1,561",42,26,794,26,6,,102,50,"2,136",12,65,"3,114","67,702","20,406",0,65,"1,225",13,5,0,3,"9,878",3,1,"11,141","18,867",537,76,41,,1,"47,099",0,114,0,0,"30,437",12,22,"1,884",0,0,85,96,"2,835",,1,627,7,6,"10,312","2,049","5,935",1,0,,"22,547","23,973",1,1
BLZ,0,0,C,0,0,0,,0,0,59,0,0,6,0,0,,0,0,0,,0,,,,1,3,,,,,,0,,0,,0,0,0,,,0,,0,15,,0,,,0,1,,,,0,0,0,0,,0,,0,0,0,,21,0,,,C,60,0,0
BEN,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,1,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
BMU,0,0,C,832,25,"1,039",15,414,,26,0,"3,940",210,1,"47,091",221,2,0,31,36,666,8,2,164,"4,955","1,628",,60,"3,176",1,1,0,,"1,472","1,412",8,"4,119","9,809",270,14,258,23,6,"7,625",42,0,20,,"3,953",37,,"1,009",,3,0,C,26,,16,"3,976",1,"1,137",222,664,"4,383",0,,,"5,105","164,074",31,0
BTN,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
