,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,0,18,0,0,,0,0,17,0,0,25,0,0,0,0,0,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6,0,0,0
DZA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,21,2,0,0,0,0,,0,0,7,0,0,0,4,5,0,0,0,0,1,0,,215,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,60,0,0,0,0
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,,0,0,4,0,0,0,3,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,5,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,84,0,0,,0,11,0,0,0,0,0,0,C,0,0,0,0
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,,0,65,0,0,0,2,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,181,3,0,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,7,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,,0,0,0,C,34,0,0,0
ARG,,0,29,221,90,0,0,140,36,49,0,87,133,39,23,0,2,5,10,0,380,0,,0,316,7,2,2,353,0,7,0,0,663,0,0,"4,601",888,83,0,0,0,1,"2,577",0,,0,113,835,30,C,0,0,28,16,0,11,0,2,8,0,0,174,22,213,0,2,0,"6,716","6,852",36,0,830
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,0,,0,1,0,0,0,0,16,2,0,8,10,0,27,0,0,0,25,0,0,0,,0,17,5,0,0,4,0,,0,0,2,0,0,0,,0,0,2,0,0,27,0,,0,0,300,142,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,655,"1,189",0,0,66
AUS,6,1,,"1,516",364,130,294,"2,090","2,723",3,0,"8,874",286,0,"32,228",545,7,18,532,91,806,4,12,606,"15,280","8,749",26,61,993,5,1,0,203,"18,489",88,169,"3,732","44,953","3,917",46,580,2,6,"27,850",143,214,58,0,"11,822",52,"5,577","4,275",0,7,110,18,398,0,0,"16,931",7,165,"3,986","3,460","8,318",133,0,0,"67,128","128,202",1,34,0
AUT,12,0,595,,8,26,61,"8,508",735,648,15,"1,009",464,0,"1,132",71,5,0,276,"1,271",923,4,183,"3,199","29,023","61,276",45,"1,632","1,574",204,10,0,0,"8,598",23,172,"10,028","11,716","2,536",95,10,1,15,"25,974",28,524,0,0,"14,979",12,31,"2,671",0,0,0,289,"1,488",259,3,702,481,5,"3,811","1,220","23,216",5,8,0,"12,552","17,281",55,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,C,0,0,0,0
BHS,0,0,0,21,,0,0,29,"2,912",263,0,82,158,0,37,4,0,0,53,0,157,13,1,0,"1,362",144,0,0,883,0,,0,0,202,7,0,248,"2,596",174,0,0,146,1,805,0,,0,174,33,729,0,18,0,188,4,0,37,0,24,,0,5,65,18,"1,335",0,0,0,C,"3,266",0,0,0
BHR,0,0,0,32,0,,0,0,146,0,0,0,0,0,111,0,0,0,8,0,1,25,,0,15,7,0,0,1,0,,0,0,48,1,0,7,0,28,0,12,"2,732",15,60,24,,0,0,17,0,0,2,0,0,0,0,0,0,0,,0,11,0,0,7,0,0,0,221,0,0,0,0
BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,18,0,,0,0,0,0,0,4,0,,0,0,2,0,0,0,0,0,0,0,0,0,2,0,,4,0,0,0,0,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,91,0,0,0,0
BRB,0,0,0,0,19,0,,3,2,0,0,2,10,0,0,0,0,0,42,0,0,0,,0,53,0,0,0,2,0,,0,0,131,0,0,3,87,0,0,0,0,0,18,0,,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,11,0,0,0,0,0,265,272,0,0,0
BLR,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,632,"4,301",0,10,24,,600,162,147,"1,294",1,2,646,10,0,1,111,"1,646","2,259",11,150,"2,311","69,219","18,014",17,87,"1,199",51,14,0,0,"9,809",41,20,"11,253","17,647","1,295",84,91,0,0,"49,334",0,95,6,0,"29,869",11,43,"1,658",0,0,50,108,"1,479",1,2,967,26,3,"11,379","2,055","5,938",1,0,0,"13,308","24,664",1,0,0
BLZ,0,0,0,1,0,0,2,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,,0,0,0,0,0,1,0,7,0,0,0,0,4,0,,0,0,0,5,0,0,0,22,0,0,0,0,0,,0,0,0,0,25,0,0,0,C,50,0,0,0
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,893,23,310,51,494,,20,0,"5,572",150,1,"45,068",225,1,0,3,15,"1,025",3,7,314,"6,352","1,890",0,92,"3,596",1,2,0,0,"2,562",440,14,"4,489","14,697",301,13,818,12,5,"12,163",44,,14,0,"4,341",758,C,"1,236",1,4,0,2,125,0,0,"3,536",1,"2,164",265,"2,421","4,532",0,1,0,"7,496","186,662",26,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,1,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,,0,1,6,0,0,9,0,0,0,0,2,0,0,10,0,0,0,0,4,0,45,0,,0,0,11,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,0,0,0,0,C,114,0,0,0
BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,21,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,14,0,,70,0,2,0,0,0,0,0,0,0,0,0,0,,0,30,0,0,0,0,0,0,C,4,0,0,0
BRA,809,0,454,749,"5,555",0,3,320,204,,1,"3,744","10,926",390,110,6,31,30,14,9,"2,051",144,0,212,"1,821","4,681",3,76,899,1,0,0,0,"2,307",4,0,"4,403","2,970",294,0,23,0,14,"13,788",1,,0,123,"4,693",116,C,844,0,216,38,C,"1,616",0,0,304,2,6,"1,818",368,"1,285",0,37,0,"11,745","90,285",866,0,12
IOQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,C,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,,0,0,0,0,0,59,0,,0,0,503,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,0,0,1,416,0,0,0,1,0,0,,0,0,0,0,0,0,0,56,0,98,0,48,0,45,419,0,455,7,0,8,0,0,47,0,0,70,23,31,0,0,0,0,356,0,,0,0,169,0,0,-4,0,0,0,0,0,0,0,,2,0,13,15,9,0,0,0,870,428,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,17,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,C,0,0,0,0
