,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
AFG,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,0,0,,0,,,1,,0,,,5,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
ALB,0,,C,0,,,,14,0,,0,0,,1,0,,,0,0,,0,,,,,1,,26,0,,,,,12,0,,27,0,,0,0,,0,0,4,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,12,0,,
DZA,0,,0,0,,,,,0,,0,0,,0,C,,,0,0,,0,,,,27,0,,0,0,,,,,0,0,,,2,2,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,45,,0,,
ASM,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
AND,0,,0,0,,,,1,0,0,0,0,,0,0,,,0,0,,0,,,,0,-1,,0,5,,,,,0,0,,,3,,0,0,,0,,2,0,,,,0,10,,0,,,,0,0,0,0,,,,0,,0,0,,,181,9,0,,
AGO,0,,0,0,,,,0,0,0,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,8,,0,,,0,,,,0,95,0,0,,,5,0,,55,0,,,56,,0,,
AIA,0,,0,0,,,,,0,0,0,0,,0,C,,,0,0,,0,,,,36,0,,0,0,,,,,0,0,2,0,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,622,4,0,,
ATG,0,,0,0,,,0,1,0,0,0,0,,0,0,,,0,0,0,0,,,,0,0,10,0,0,,,,,0,0,,0,0,,0,0,,0,,0,,,,,7,,,0,,,,0,0,0,0,,,,1,,,0,,,0,33,0,,
ARG,,,36,312,71,,0,89,0,77,0,142,142,179,24,,4,2,0,0,746,,,0,828,"1,372",,5,515,1,2,,,718,0,,"4,875","1,358",26,0,12,,0,1,"3,344",,,,9,"1,488",14,,62,,54,20,C,7,0,0,,,19,266,32,269,0,1,,"6,733","11,018",43,,10
ARM,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,1,0,,0,,1,5,,,,0,,,0,,,,0,0,0,11,,,,0,,0,0,,,0,,0,,
ABW,0,,0,7,3,,2,0,12,0,0,7,,0,17,1,,0,30,,0,,,,17,13,,0,0,,,,,34,0,,15,0,,0,2,,0,0,34,,,,,371,141,,32,,,,0,0,0,0,,,,0,,7,0,,,240,"1,272",0,,
AUS,54,2,,"2,281",86,149,"1,099","2,521","3,793",15,10,"12,875",383,3,"42,757",622,,31,806,88,"1,309",5,22,"1,052","20,567","14,750",6,62,"1,564",18,2,1,77,"25,278",94,189,"3,713","52,630","4,953",477,"1,724",,0,6,"35,943",267,132,134,1,"15,022",41,"5,844","7,211",,14,321,8,577,0,0,"21,650",1,68,"3,928","4,980","10,358","1,060",,,"84,905","173,153",1,45,
AUT,37,,710,,37,67,256,"9,743",951,"3,516",33,"1,893",664,0,"1,122",51,2,0,387,"1,958","1,501",3,130,"4,402","38,893","77,970",,"1,529","2,155",588,30,,,"11,615",23,230,"14,309","14,083","2,395",87,24,1,2,5,"32,891",45,389,,,"17,836",9,C,"4,496",,,,919,"1,489",696,63,"1,098",626,2,"4,748","1,575","28,754",53,23,,"20,551","26,569",7,,
AZE,0,,0,0,,,,4,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,1,0,,0,0,,1,,4,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
BHS,1,,0,51,,,1,110,"1,262",394,0,129,133,88,276,8,,0,125,0,174,21,1,0,"1,673",271,2,0,"1,046",,,,,"1,242",1,,264,"2,598",194,44,0,179,0,0,"3,314",13,,,151,30,916,,23,,149,5,0,80,0,32,,,2,65,5,"1,611",0,,,279,"1,674",0,,
BHR,0,,C,22,,,,1,0,,0,8,12,0,33,2,,0,39,,1,62,,,20,75,,3,3,,,,,75,0,,19,4,51,0,6,"5,115",0,16,115,23,,0,,16,,,8,0,,,0,3,0,0,,,,0,1,7,0,1,,386,0,0,,
BGD,0,,0,0,,,,0,0,,0,0,,0,167,,,0,0,,21,,,0,,0,,0,2,,,,,3,0,,,0,,0,2,2,0,,4,,,11,,0,,,0,,,,0,0,0,0,,,,0,1,0,0,,,29,4,0,,
BRB,0,,C,1,12,,,0,2,,0,5,3,1,C,,,1,80,0,0,,,0,0,65,,0,1,,,,,112,0,,5,43,94,0,0,,0,,27,,,,,0,,,0,,,,0,0,0,0,,,,0,,3,0,,,67,323,0,,
BLR,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,0,0,,0,,0,0,,0,,,0,0,,,0,,0,0,,1,,0,,,,,0,,,0,,,,0,0,0,4,,,,0,,0,0,,,0,,0,,
BEL,0,,928,"4,599",,26,324,,930,144,101,"2,053",6,2,661,7,1,9,151,"2,668","2,072",8,228,"3,122","79,487","29,725",20,128,599,161,38,0,0,"14,338",43,41,"10,966","20,060",952,113,136,22,1,40,"58,602",21,94,1,0,"27,612",39,C,"1,442",0,0,75,C,"1,588",5,23,"1,122",10,5,"10,902","1,893","7,054",3,10,,"23,376","35,968",1,,0
BLZ,0,,0,1,,,1,0,0,3,0,0,1,0,C,,,0,0,7,0,,,,0,4,,0,0,,,,,0,0,,2,0,4,0,0,,0,,3,,,,,0,,,0,,1,,0,0,0,7,,,,1,,15,0,,,12,52,0,,250
BEN,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,0,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
BMU,0,,C,840,37,41,25,"1,253",,871,0,"7,822",217,1,"64,410",212,1,0,57,48,"1,188",,6,448,"9,710","3,333",2,63,"3,362",11,10,,,"4,340",582,15,"5,517","14,233",881,17,112,77,1,2,"15,151",125,,13,,"5,061","1,064",,"2,315",1,1,0,97,179,0,60,"4,946",2,"4,433",301,"2,108","4,823",0,,,"9,447","208,050",21,,
BTN,0,,0,0,,,,2,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
BOL,0,,C,0,,,,0,0,0,0,0,2,0,0,,,0,0,,0,,,,,1,,0,0,,,,,1,0,,,0,,0,0,,0,,6,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,0,,0,,0,,
BIH,0,,0,38,,,,,0,,0,0,,0,0,,,0,0,,49,,,0,1,7,,0,5,,0,,,4,0,,16,3,,0,0,20,0,,50,,,,,26,0,,0,,,,0,0,0,0,,,,0,19,0,0,,,44,72,0,,
BWA,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,0,0,,0,4,,,,,0,0,,0,0,,0,0,,0,,14,0,,42,,3,,,0,,,,0,0,0,0,,,42,0,1,0,0,,,0,5,0,,
BRA,"1,522",,630,897,"5,027",,3,367,70,,0,"5,059","9,465","1,791",117,7,20,49,87,5,"2,550",53,,320,"5,196","13,602",2,57,"1,438",5,0,12,,"3,838",1,2,"4,108","4,079",122,0,300,,0,14,"23,689",1,,1,19,"7,457",73,C,"1,743",,267,71,C,"2,884",0,8,"1,014",6,3,"5,468",705,"1,647",0,22,,"20,364","110,294",854,,17
IOQ,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,0,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
BRN,0,,0,0,,,,20,0,,0,0,,0,3,,,0,0,,0,,,,,0,,0,55,,,,,411,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
BGR,0,,C,557,,,,1,0,0,,0,,0,1,,,0,66,,70,2,90,38,46,445,,469,26,0,0,,,134,0,,98,24,75,0,0,,3,,382,,,,,173,1,,19,,,1,C,0,0,0,,0,,14,47,9,0,3,,516,312,0,,
BFA,0,,0,0,,,,5,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,3,0,,,0,,0,,
BDI,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
KHM,0,,0,0,,,,,0,,0,0,,0,C,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,2,,,,,3,,,0,,,,0,0,0,0,,,,0,,0,21,,,0,,0,,
