,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,4,,,,0,0,0,0,,,,0,0,0,,,,0,0,,0
ALB,0,,C,0,,,,3,0,0,0,0,,0,0,,,,0,,0,0,,,2,1,,70,0,,,,,0,0,,63,0,,0,0,,,0,7,,,,,11,,0,6,,,,0,0,0,0,,,,0,0,0,,,,0,13,,0
DZA,0,,0,0,,,,0,0,0,0,0,,0,0,,,,0,,0,0,,,38,0,,,0,,,,,0,0,,,0,9,0,0,,,,0,,,29,,0,,0,,,,,0,0,0,0,,,,0,0,0,,,,0,,,0
ASM,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,,,0,0,0,0,,,,0,0,,,,,0,0,,0
AND,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,321,0,,,0,,,,,0,0,,,0,,0,0,,,,2,,,,,0,,0,,,,,0,0,0,0,,,,0,15,0,7,,,-84,7,0,0
AGO,0,,0,0,,,,,0,1,0,0,4,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,12,,0,,0,,,,,0,139,0,0,,,,0,0,0,,,,65,0,,0
AIA,0,,0,0,,,,,0,18,0,0,,0,C,,,,0,,0,0,,,65,0,,,0,,,,,0,0,2,,0,,0,0,,,,0,,,,,0,0,0,,,,,0,0,0,0,,,,0,104,,5,,,C,4,,0
ATG,0,,0,0,,,,1,0,0,0,0,,0,0,,,,0,0,0,0,,,0,0,7,,0,,,,,0,0,,1,0,,0,0,,,,0,,,,,0,,0,,,,,0,0,0,0,,,,C,0,,,,,0,29,,0
ARG,,,C,72,38,0,0,49,34,106,0,22,232,392,19,,1,8,4,0,247,0,,0,435,419,,3,145,1,0,,,125,0,,"1,814",804,12,0,5,,68,0,"1,336",,,,50,782,20,0,18,,8,0,0,0,0,0,15,,,C,50,92,,0,,"1,334","4,246",42,327
ARM,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,16,0,,,4,,,,,1,0,,,0,,0,0,,,,42,,,,,0,,0,,,0,,0,0,0,1,,,,0,1,0,,,,0,0,,0
