,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,6,,,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
ALB,0,,C,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,3,1,,78,0,0,,,0,33,0,,63,0,,0,0,,,,0,26,,,0,,6,,0,,,,,0,0,,0,,,0,,0,0,0,0,0,,0,6,0,0
DZA,0,,0,0,,,0,0,0,0,0,,,0,0,,,,0,,0,1,,0,48,0,,,0,0,,,0,0,0,,,0,6,0,0,160,,,0,0,,,48,,0,0,0,0,,,,0,0,,0,,,0,,0,0,0,0,0,,115,0,0,0
ASM,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,,,0,0,,0,,,0,,0,0,,0,0,,0,0,1,0
AND,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,"1,085",0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,1,,,0,,0,,0,,,0,,0,0,,2,C,,0,,0,105,201,0,0,,-60,0,1,0
AGO,0,,0,0,,,0,0,0,0,0,,11,0,0,,,,0,,0,0,,0,,0,,,25,0,,,0,1,0,,,0,,0,0,,,,0,0,,,21,,0,,0,0,,0,,0,237,,0,,,0,,0,0,0,0,2,,66,6,0,0
AIA,0,,0,0,,,0,0,0,0,0,,,0,C,,,,0,,0,0,,0,9,0,,,0,0,,,0,0,0,1,,0,,0,0,,,,0,0,,,0,,0,,0,1,,0,,0,0,,0,,,0,,0,0,,0,0,,0,1,0,0
ATG,0,,0,0,,,1,2,0,0,0,,,2,3,,,,0,0,0,0,,0,0,1,13,,0,0,,,0,0,0,,2,0,,0,0,,,,0,1,0,,0,,1,,0,,,0,,0,0,,0,C,,0,,C,0,,0,0,,0,114,0,0
ARG,,0,48,131,112,,47,102,17,195,0,54,354,410,21,0,5,14,4,0,619,0,,C,391,766,,1,277,1,1,,0,729,0,1,"2,794",673,31,0,8,,53,2,0,"2,578",0,,0,1,679,"1,699",0,38,,10,0,0,15,,2,17,,3,0,145,12,158,0,0,,-330,"7,296",63,298
ARM,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,11,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,54,,,0,,1,,0,,,0,,0,0,,1,,,0,,0,0,0,0,0,,0,0,0,0
ABW,0,,0,10,,,0,0,6,0,0,,20,0,1,,,,10,,0,0,,0,20,58,,,0,0,,,0,14,0,,0,804,5,0,0,,,,0,119,,,0,,169,236,0,29,,0,,0,0,,0,C,,0,,0,0,36,0,0,,1,848,0,0
