,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,,0,0,,,0,0,0,,0,,,1,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,6,,,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
ALB,0,,C,21,,,0,0,0,,4,,,18,0,,0,0,,0,,12,0,1,0,3,21,,75,0,0,,,0,15,0,,15,0,,0,0,,,,0,82,,,,,,5,0,6,,,,C,0,,0,,,0,,0,0,6,0,0,,45,15,0,0
DZA,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,3,0,,0,160,0,,,0,0,,,0,0,0,,,0,,0,0,164,,,0,0,,,44,,,0,0,0,,,,0,0,,0,,,0,,0,0,28,0,0,,26,0,0,0
ASM,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,5,,,,0,0,,0,,,0,,0,0,,0,0,,0,0,2,0
AND,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,21,0,0,,0,42,0,,,0,0,,,0,0,0,,,14,20,0,0,,,,0,0,,,,,,0,0,,,,,0,0,,5,C,,0,,0,101,0,0,0,,14,0,1,0
AGO,0,,0,0,,,0,0,0,1,0,,2,0,0,,0,0,,0,,0,0,,0,,0,,,20,0,,,0,1,0,,,0,,0,0,,,,0,0,,,107,,,0,0,1,,,,0,240,,0,,,0,5,0,0,0,0,0,,58,0,0,0
AIA,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,9,0,,,0,0,,,0,0,0,,,0,34,0,0,,,,0,0,,,,,,0,0,,,,,0,0,,0,,,0,,0,0,,0,0,,583,0,0,0
ATG,0,,0,0,,,0,4,0,0,0,,,0,0,,0,0,,0,0,0,0,,0,0,1,,0,0,0,,,0,5,0,,1,0,,0,0,,,,0,3,0,,,,,1,0,,,,,0,0,,0,,,0,,C,0,,0,0,,3,112,0,0
ARG,,0,39,298,104,2,1,78,95,164,0,72,120,530,26,0,2,5,8,9,0,682,0,,0,551,995,2,3,257,1,1,,1,361,1,,"3,940",788,17,0,21,,45,15,0,"4,246",0,,0,1,,711,0,73,,4,0,C,0,,0,8,,0,2,223,1,202,0,0,,"2,921","10,795",166,204
ARM,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,17,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,97,,,,,,3,0,,,0,,0,0,,1,,,0,,0,0,0,0,0,,0,0,0,0
