,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,0,0,0,,,0,,,0,,6,,,,0,0,,0,,,0,,C,0,0,,0,,0,0,0,0
ALB,0,,C,21,,,0,,0,,0,3,,,19,0,,0,,,0,,0,0,,0,3,32,3,120,0,,,,0,13,0,,44,0,,0,0,,0,,0,94,,,0,,,5,,6,,,,C,0,,0,,,0,,C,0,24,,0,,73,82,0,0
DZA,0,,0,0,,,0,,0,,0,0,,,0,25,,0,,,2,,3,0,,0,399,0,,,0,,,0,0,0,0,,,0,,0,0,165,,,0,0,,,6,,,0,,,,,,0,16,,0,,,0,,0,0,1,,0,,"1,136",0,0,0
ASM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,12,,,,0,0,,0,,,0,,0,0,0,,0,,0,0,0,0
AND,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,1,0,,,0,,,,0,0,0,,,19,8,0,0,,,,0,1,,,0,,,0,,,,,,0,0,,0,,,0,,0,0,0,,0,,6,5,0,0
AGO,0,,0,0,,,0,,0,,1,0,,2,0,0,,0,,,0,,0,0,,0,,0,,,16,,,,0,1,0,1,,0,42,0,0,,,,0,0,,,0,,,0,,1,,,,0,447,,0,,,0,79,0,0,0,,0,,134,7,,0
AIA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,9,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,,,0,0,,0,,,0,,0,0,0,,0,,0,403,,0
ATG,0,,0,0,,,1,0,0,,0,0,,,0,0,,0,,,0,0,0,0,,0,0,0,,0,0,,,,0,4,0,,1,0,,0,0,,30,,0,1,0,,0,,,0,,,,,,0,0,,0,C,,0,,C,0,0,,0,,0,44,,0
ARG,,,18,238,127,2,0,34,140,,132,0,105,56,147,42,,2,7,12,4,2,544,0,,C,291,780,,3,187,0,1,,0,175,1,1,"2,972",575,15,0,27,,3,22,0,"3,095",0,,18,2,,621,,44,,17,0,5,0,,1,C,,0,2,C,19,178,0,1,,"2,234","9,584",89,112
ARM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,17,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,138,,,0,,,3,,,,0,,0,0,,1,,,0,,0,0,1,,0,,0,0,,0
