,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,6,,,,0,0,,0,,,0,,-,0,0,,1,,0,0,,
ALB,0,,C,4,,,0,0,0,,0,6,,,0,0,,0,,,0,,6,,1,0,3,41,,104,0,0,,0,0,24,0,,43,0,,0,0,,,,,0,108,,,,,0,5,,0,,,,C,0,C,0,,,0,,-,0,8,,0,,12,91,,
DZA,0,,0,0,,,0,,0,,0,0,,,0,15,,0,,,2,,3,,,0,260,0,,,0,0,,0,0,0,0,,,0,,0,0,164,,,,0,0,,,22,,0,0,,0,,,,0,16,,0,,,0,,-,0,1,,0,,228,0,,
ASM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,0,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,,,0,0,,1,,,,0,0,,0,,,0,,-,0,,,0,,0,0,,
AND,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,1,0,,,0,0,,0,0,0,0,,,17,,0,0,,,,,0,40,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,3,0,,0,,1,8,0,
AGO,0,,37,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,13,0,,0,0,1,0,,,1,,0,0,,,,,0,0,,,14,,0,0,,4,,0,,0,404,,0,,,0,99,-,0,0,,0,,98,7,,
AIA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,9,0,,,0,0,,0,0,0,0,1,,0,,0,0,,,,,0,0,,,,,0,0,,1,,0,,0,0,,0,,,0,,-,1,,,0,,372,1,,
ATG,0,,C,0,,,0,0,0,,0,0,,,0,0,,0,,6,0,0,0,,,0,0,0,,0,0,0,,0,0,0,0,,1,0,,0,0,,24,,,0,2,,,,,0,0,,0,,0,,0,0,,0,C,,0,,C,0,,,0,,0,66,,
ARG,,1,20,172,147,1,0,25,71,,196,0,99,251,88,50,,4,1,53,4,0,413,,,0,225,628,,3,136,0,0,0,1,174,1,1,"3,027",343,155,2,13,,3,21,,0,"2,134",,,11,7,0,453,,18,,7,0,C,0,,1,22,,0,12,146,13,203,,3,,"2,487","7,110",78,112
ARM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,18,0,,,0,0,,0,0,165,0,,,0,,0,0,,,,,0,148,,,,,0,3,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
