,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,6,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
ALB,0,,C,3,,,0,0,0,,0,7,,,0,0,,0,,0,0,,5,,1,,3,41,,4,0,0,,0,0,0,0,,59,0,,0,0,,,0,,0,102,,,0,,,6,,0,,,,C,0,C,0,0,,0,0,,,0,4,,0,,33,230,,
DZA,0,,0,0,,,0,,0,,0,0,,,1,12,,0,,0,2,,3,4,0,,339,0,,0,0,0,,0,0,0,0,,,0,,0,5,163,,0,,0,0,,,5,,,0,,0,,,,0,16,,0,0,,0,0,,,0,0,,0,,7,,,
ASM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,0,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,1,,,,0,0,,0,0,,0,0,,,0,,,0,,0,,,
AND,0,,0,0,,,0,,0,,1,0,,,1,0,,0,,0,0,,0,,0,,0,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,9,,,0,,,0,,0,,3,,0,0,,0,0,,0,0,,C,0,4,,0,,-9,1,0,
AGO,0,,C,0,,,0,,68,,0,0,,,0,0,,0,,0,7,,3,,0,,,0,,0,10,0,,0,0,18,0,,,4,48,0,0,,,0,,0,10,,,9,,,0,,5,,,,0,435,,0,16,,0,0,92,,0,0,,0,,132,0,,
AIA,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,,0,,8,0,,0,0,0,,0,0,0,0,1,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,1,,,0,,198,661,,
ATG,0,,C,0,,,0,1,0,,0,0,,,0,0,,0,,0,0,0,0,,0,C,6,1,,0,0,0,,0,0,0,0,,1,3,,0,0,,0,0,,0,2,0,,0,,,0,,0,,,,0,0,,0,0,C,0,0,,C,0,,,0,,0,134,,
ARG,,,16,130,147,1,364,38,24,,409,0,126,12,233,33,,5,0,40,1,1,356,,0,9,177,913,,3,112,0,0,0,0,247,1,1,"3,439",236,160,4,15,,1,12,,0,"2,297",,,14,62,,385,,26,,19,C,C,0,,1,97,109,0,0,11,C,17,219,,3,,"1,931","9,067",63,76
ARM,0,,0,1,,,0,,0,,0,3,,,0,0,,0,,0,0,,57,,0,C,21,88,,0,4,0,,0,0,0,0,,6,7,,0,32,,1,0,,0,324,,,0,,,48,,0,,,,0,0,,0,0,,0,0,,,0,9,0,0,,20,221,,
ABW,0,,0,17,52,,5,,0,,0,0,17,14,0,0,,42,,310,0,,3,,0,,,0,,0,41,0,,0,0,0,0,,5,41,,0,1,,,0,,0,19,,,0,,,11,,0,,,,0,0,,0,0,,0,0,,,4,1,,0,,4,172,,
AUS,1,7,,"2,532",,366,"1,071","4,657","6,365",1,7,49,"23,133",393,351,"27,064",418,55,5,160,10,26,"2,182",,1,"1,968","31,733","32,465",31,94,"1,320",6,34,13,65,"31,974",285,245,"4,610","133,386","1,884","1,988","3,846",,33,88,,10,"44,498","1,973",364,138,,20,"23,143","23,587","24,203",5,14,99,1,474,C,0,"1,868","30,578",185,336,293,C,"6,394","30,264","1,212",2,,"91,238","337,805",95,2
AUT,0,1,"1,244",,1,13,2,"14,413",542,,7,133,"1,029",8,148,464,33,124,0,9,83,"3,234","2,085",,60,"3,066","66,342","115,174",8,506,450,638,2,0,0,"9,303",5,117,"18,922","16,625","2,233",513,226,,15,5,,52,"29,651",104,444,0,,0,"40,774",C,"5,394",1,,C,"1,067","1,923",580,51,291,C,"1,368",970,105,"6,175",940,"32,532",3,1,,"17,018","18,777",8,
AZE,0,0,0,8,,,0,,0,,0,0,14,,0,0,,0,,0,0,,76,,0,C,4,143,,0,13,0,,0,0,0,0,,12,22,13,0,12,,4,0,,0,496,,,5,,0,125,,1,,,,0,0,,0,40,,0,0,,,1,8,,5,,434,231,,
BHS,0,,0,44,,5,358,12,1,,914,0,179,29,109,109,17,0,0,216,0,0,307,,0,80,65,84,3,0,194,1,,0,0,211,1,,38,"1,771",734,0,10,,0,0,,0,811,5,,0,,,57,,64,,0,6,0,0,,0,25,C,0,0,,C,28,"3,091",91,0,,359,"5,646",0,
BHR,0,,C,11,,,0,6,0,,0,0,10,,0,52,0,0,,0,6,,11,22,1,C,87,276,,3,55,0,,0,0,68,0,,28,34,249,0,16,"4,450",,361,,1,269,140,,4,,,131,C,45,11,,,0,0,C,0,"1,184",C,0,0,,C,0,50,13,0,,317,,0,
