,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BRB,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,4,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,5,,,,,0,0,,0,0,,0,0,,C,0,0,0,0,,0,0,,
ALB,0,0,0,2,,,,0,0,0,0,,,6,,,2,0,,0,,,0,,0,0,0,,3,34,0,4,0,,0,,0,,12,0,,60,0,,0,0,,,0,,0,82,,0,,,,5,,0,,,,,C,0,C,0,0,,0,0,,C,0,11,,0,,49,239,,
DZA,0,0,0,0,,,,0,0,,0,,,0,,,1,29,,0,,,2,,1,13,0,,436,0,0,,0,,0,,0,,0,0,,,0,,0,5,,,0,,0,1,,0,5,,,0,,0,,,,,0,14,,0,0,,0,0,,C,0,0,,0,,71,0,,
ASM,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,1,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,,,
AND,0,0,0,0,,,,0,0,,0,,1,0,,,1,0,,0,,,0,,0,0,0,,1,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,7,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,78,0,,0,,1,0,,
AGO,0,0,C,0,,,,0,0,,4,,0,0,,,0,0,,0,,,0,,3,0,0,,,0,0,,0,,0,,0,,19,0,,,0,56,0,0,,,0,,0,58,,0,"1,101",,,0,,7,,,,,0,397,,0,0,,0,0,109,C,3,0,,0,,58,0,,
AIA,0,0,0,0,,,,0,0,,0,,14,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,133,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,301,,
ATG,0,0,0,0,,,,0,0,1,0,,3,0,,,0,0,,0,,,0,0,0,0,0,C,0,0,8,,0,,0,,0,,1,0,,1,2,,0,0,,0,0,,0,2,0,0,,,,0,,0,,,,,0,0,,0,0,C,0,0,,C,0,,,0,,0,0,,
ARG,,1,C,123,100,6,,0,0,38,340,,469,0,234,25,241,15,,6,2,3,1,0,578,0,0,19,188,735,0,2,42,,0,0,0,1,716,2,1,"3,133",273,179,0,1,,1,18,,0,"2,581",,C,14,42,,566,,36,,,13,C,C,0,C,1,308,26,0,1,8,C,30,233,0,1,,"1,348","16,046",93,101
ARM,0,0,0,1,,,,0,0,,2,,,0,,,0,0,,0,,,0,,72,0,0,C,28,55,0,,0,,0,,0,,21,0,,8,6,,0,28,,1,0,,0,345,,0,,,,56,,0,,,,,0,0,,0,0,,0,0,,C,0,12,0,0,,15,216,,
ABW,0,,0,6,,,,1,0,,0,,0,0,58,11,0,0,,0,,441,0,,6,0,0,,,1,0,,0,,0,,0,,0,0,,6,35,,0,1,,,0,,0,18,,0,,,,0,,0,,,17,,0,0,,0,0,,0,0,,C,0,1,,0,,1,167,,
AUS,0,8,,"2,639",57,204,37,89,0,"5,300","10,898",,25,3,"22,036",326,170,"24,163","1,130",187,23,174,22,29,"2,522",0,2,"2,405","32,260","36,472",245,66,"1,534",,10,43,8,55,"43,011",105,271,"5,537","131,946","1,264","2,107","4,411",,85,77,,11,"46,784","2,498",455,57,1,23,"24,264","7,554","23,867",,,18,113,1,343,0,1,"1,666","27,881",358,397,312,"1,711","5,856","27,873","1,067",1,,"91,316","311,486",167,2
AUT,0,1,C,,,14,4,67,0,"15,500",476,35,12,128,"1,178",10,80,160,7,66,,17,346,"4,341","1,968",0,114,"2,995","58,173","104,297",2,426,370,,759,1,0,,"8,744",6,182,"18,588","11,327","1,405",429,177,,86,6,,54,"31,037",85,476,,1,0,"43,876",,"5,275",,,2,C,959,"1,573",345,2,41,C,"1,350",883,46,"4,208",755,"26,289",3,0,,"17,718","19,523",4,
