,ALB,ARG,ABW,AUS,AUT,BHR,BGD,BRB,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
AFG,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,3,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,3,,,,0,,0,0,,0,,,0,0,,C,0,0,20,0,,0,0,,,
ALB,,0,0,0,1,0,,0,0,0,0,,,8,,1,7,0,,0,0,,0,0,0,3,0,0,C,4,48,,0,0,,0,,0,,16,0,,43,0,,0,0,,,0,,0,123,,0,0,,,0,,0,,,0,0,,0,0,C,0,,,0,0,,C,0,7,,0,,59,234,,,
DZA,,0,0,0,0,0,,0,0,,0,,,0,,,0,17,,0,0,,0,3,0,0,0,0,,280,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,1,,0,47,,,0,,0,,,,0,,0,11,,0,,,0,0,,C,0,12,,0,,111,0,,,
ASM,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,28,,,,
AND,,0,0,0,0,0,,0,0,,0,,3,0,,,3,0,,0,0,,0,0,0,0,0,0,,3,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,12,,0,1,,,0,,0,,,1,0,,0,0,,0,,,0,0,,C,66,0,,0,,-1,0,,,
AGO,,0,0,C,52,0,,0,0,0,0,,0,0,,1,0,0,,2,0,,0,0,0,41,0,0,C,1,94,,,2,,0,,0,,115,0,,11,7,1,0,0,,,1,,0,285,,0,"1,064",,,53,,0,,,,0,,0,474,,0,44,C,0,0,100,C,2,15,,0,,115,434,,,
AIA,,0,0,0,0,0,,0,0,,0,,25,0,,9,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,215,,,
ATG,,0,0,0,0,0,,3,0,1,0,,3,0,,,0,0,,0,0,,0,0,0,0,0,0,C,0,0,4,0,0,,0,,0,,3,0,,1,0,,0,0,,,0,,0,1,0,0,0,,,0,,0,,,,0,,0,0,,0,,C,0,0,,C,0,,,0,,0,147,,,
ARG,,,0,88,140,5,,1,0,24,413,,463,0,355,"5,549",453,26,,21,2,1,0,0,0,637,0,0,23,197,748,,2,12,,0,0,0,1,832,2,2,"3,136",247,64,0,1,,1,10,,0,"3,313",,C,0,44,,734,,24,,,15,1,C,5,0,,11,108,C,0,0,0,C,20,223,0,0,,"1,372","15,071",139,,
ARM,C,0,0,0,3,0,,0,0,,2,,,0,,,0,0,,1,0,,0,-1,0,48,0,0,C,25,44,,,0,,0,,0,,36,0,,14,7,,0,19,,0,5,,0,349,,0,0,,,54,,0,,,,0,,0,0,,0,,,0,0,,C,2,7,0,0,,16,444,,,
ABW,,0,,0,7,0,,21,0,,0,,0,0,35,9,0,0,,0,0,,454,0,0,0,0,0,,2,1,,,0,,0,,0,,0,0,,6,35,,0,2,,,0,,0,16,,0,0,,,0,,0,,,16,0,,0,0,,0,,,0,0,,C,0,1,,0,,55,142,,,
AUS,,0,6,,"2,492",118,44,104,0,"4,892","8,349",,21,3,"19,341","8,272",147,"24,998","1,762","5,977",289,10,227,111,26,"2,236",0,46,"2,280","29,743","37,096",10,58,"1,362",,3,8,3,71,"44,677",23,299,"6,056","128,687","1,480","2,230","5,870",,79,66,,8,"44,416","2,788",C,530,,9,"23,119",C,"22,174",,,23,22,93,5,413,0,1,"1,486","22,240",309,313,542,"2,140","4,349","24,560",356,0,,"85,608","295,959",139,,4
AUT,C,0,0,C,,13,4,0,0,"12,928","1,018",,9,175,"1,118","5,012",9,214,9,164,50,,13,406,"4,807","1,949",0,98,"2,239","49,948","82,344",,344,193,,705,18,0,,"7,835",2,135,"15,393","9,328",799,498,271,,157,11,,96,"21,918",41,309,1,2,0,"38,541",,"5,363",,,5,0,C,940,"1,111",642,C,108,C,"1,284","1,088",24,"3,908",576,"20,925",22,0,,"15,977","17,331",4,,
AZE,,0,0,C,42,14,,0,0,,13,,,0,87,201,0,0,,3,0,,0,1,1,111,0,0,24,21,256,,,11,,0,,0,,212,0,,60,17,65,0,16,,37,0,,0,768,,0,3,,0,235,,32,,,,0,,C,14,,0,71,C,0,0,,C,3,36,0,34,,80,805,,,
BHS,C,0,0,C,47,0,,24,0,95,68,,658,0,319,140,618,120,0,264,0,0,178,0,2,149,0,0,C,97,26,,,125,,5,,0,,266,31,,36,"1,891",759,100,0,,0,0,,0,"3,064",3,C,0,,,45,,79,,,20,26,C,1,0,,1,33,115,0,0,,C,35,"2,376",0,0,,345,"6,869",,,
BHR,3,0,0,C,9,,,0,0,0,2,,0,0,9,59,0,86,,5,0,,0,21,0,20,21,0,C,99,149,,0,8,,0,,0,1,42,0,,47,17,10,0,2,"3,791",0,299,,0,235,92,C,0,,,38,C,55,0,,0,0,C,C,0,,0,"1,877",C,0,0,10,C,0,48,10,0,,374,420,0,,6
BGD,,0,0,C,1,0,,0,0,,23,,,0,,9,0,412,,22,0,,0,0,0,78,0,0,,0,12,,,3,,0,,2,2,44,0,,0,2,,0,0,30,,0,,0,442,6,C,41,,,2,,19,,,,0,,0,0,,0,,C,0,0,,C,5,8,0,0,,388,627,,,
