,ALB,ARG,ABW,AUS,AUT,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
AFG,,0,,0,0,,0,,0,,0,0,,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,2,0,,0,0,,0,0,,,0,0,44,0,,0,0,,,0,,2,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
ALB,,0,,0,1,,0,,0,,0,16,,4,2,0,,0,0,,0,0,0,3,,0,,4,37,,,0,0,0,,0,,12,0,,69,0,,0,0,,,0,0,127,0,,0,0,,,0,,0,,,,0,,5,0,C,,0,,0,0,,C,0,15,,0,,54,218,,,
DZA,,0,,0,0,,0,,0,,0,0,,,0,7,,0,0,,0,1,0,0,,0,,324,0,,,64,0,0,,0,,0,0,,0,0,133,0,0,,,0,0,0,0,,0,31,,,0,,0,,,,0,,0,11,,,0,,0,0,,C,0,13,,0,,33,0,,,
ASM,,0,,0,0,,0,,0,,0,0,,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,1,,,,
AND,,0,,0,0,,0,,0,,3,0,,,3,0,,0,0,,0,0,0,0,,0,,2,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,1,0,,0,5,,,145,,0,,,0,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
AGO,,0,,C,69,,0,0,0,,0,0,,12,0,0,,4,0,,0,0,0,66,,0,4,2,83,,,3,0,0,,0,,118,0,,26,16,30,0,2,,0,1,0,348,0,,0,381,,,98,,0,,,0,0,,0,446,,1,76,C,0,0,,C,2,18,,0,,86,349,,,
AIA,,0,,0,0,,0,,0,,26,0,,7,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,"1,107",,,
ATG,,0,,0,0,,0,3,0,,2,0,1,,0,0,,0,0,,0,0,0,0,,0,0,5,0,,,0,0,0,,0,,3,0,,1,0,,0,0,,,0,0,2,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,0,,,0,,0,143,,,
ARG,,,0,372,209,,0,32,385,,500,0,861,"5,561",750,79,,64,1,2,38,2,1,"1,087",,8,175,515,"1,743",,3,36,0,7,0,0,0,"2,450",6,2,"3,285",337,21,0,15,,7,3,1,"11,225",0,3,C,1,18,,"1,907",,46,,,16,4,C,32,16,C,2,242,C,0,0,4,C,30,467,0,1,,"1,189","24,714",216,,
ARM,,0,,C,3,,0,0,2,,0,0,0,2,0,0,,3,0,,0,-2,0,44,,0,C,25,71,,,0,0,0,,0,,42,0,1,16,2,,0,13,,1,20,0,434,0,,0,0,,0,58,,0,,,,0,,0,0,,,0,,0,0,,C,1,25,,0,,28,426,,,
