,ALB,ARG,ABW,AUS,AUT,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
AFG,,0,,0,0,,,0,,0,,1,0,,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,2,0,,0,0,,0,0,,,0,0,52,0,0,0,0,,,0,,1,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
ALB,,0,,0,4,,,0,1,0,,,22,2,1,0,0,,0,0,,0,0,0,4,,0,,4,42,0,4,0,0,0,,0,,13,0,,55,0,,0,0,,,0,0,112,0,0,0,0,,,0,,0,,,,0,,21,0,C,,0,,0,0,,C,0,3,,0,,6,303,1,,0
DZA,,0,,0,0,,,0,,0,,0,0,,0,0,24,,0,0,,0,1,0,1,,0,,254,0,0,,75,0,0,,0,,0,0,,0,0,132,0,0,,,0,0,0,0,0,0,31,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,15,,0,,29,0,,,0
ASM,,0,,0,0,,,0,,0,,,0,,16,1,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,,,,0
AND,,0,,0,0,,,0,,0,,3,0,,2,3,0,,0,0,,0,0,0,0,,0,,3,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,4,0,0,C,5,,,247,,3,,,0,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
AGO,,0,,C,14,,,0,1,7,,0,0,,2,0,0,,24,0,,0,-3,0,85,,0,C,7,121,0,,4,0,0,,0,,136,2,,28,13,30,0,2,,1,0,0,554,0,0,0,73,,,223,,3,,,,0,,0,489,C,1,50,C,0,0,,C,1,24,,0,,-51,468,,,0
AIA,,0,,0,0,,,0,,0,,20,0,,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,41,15,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,2,"2,135",,,0
ATG,,0,,0,0,,,0,3,0,,2,0,1,0,0,0,,0,0,,0,0,0,0,,0,0,8,0,0,,0,0,0,,0,,1,0,,1,0,,0,0,,,0,0,15,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,4,149,,,0
ARG,,,1,333,357,6,,0,51,922,,394,0,"1,688","6,025","1,295",105,3,256,1,1,15,19,3,"1,444",,10,423,"2,919","3,175",0,6,51,0,32,0,0,1,"6,492",9,2,"4,302",533,115,0,30,,18,10,0,"20,313",0,3,C,0,15,,"2,782",,52,,,9,8,C,51,22,C,14,168,C,0,3,3,385,63,838,,2,,"3,595","44,510",477,,0
ARM,,0,,C,2,,,0,0,2,,,0,0,1,0,0,,8,0,,0,-2,0,31,,0,4,32,101,0,,1,0,0,,0,,48,0,1,31,1,,0,11,,1,21,0,450,0,0,0,0,,0,56,,0,,,,0,,C,0,,,0,,0,0,,C,1,31,,0,,22,284,,,0
