,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
AFG,,0,,0,0,0,,,0,,0,,1,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,1,0,,0,0,,0
ALB,,0,,0,30,0,,,0,1,12,,,44,2,0,2,0,,0,0,,0,0,0,32,,0,0,5,4,96,1,0,0,,0,,0,,22,0,,59,0,,0,0,,,0,0,186,0,0,0,0,,,1,,0,,,,,24,0,C,,0,,5,0,,C,0,7,,0,,15,337,,0
DZA,,0,,0,0,0,,,0,,0,,,0,,0,0,20,,0,0,,0,C,0,0,,0,0,,260,0,,,67,,0,,0,,0,0,,0,0,173,0,0,,,0,0,0,0,0,0,14,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,21,,0,,133,0,,0
ASM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,10,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,,97,0,,0,,,0
AND,,0,,0,0,44,,,0,,0,,3,0,,0,3,0,,0,0,,0,0,0,0,,0,0,,0,0,,,0,,0,,0,,3,0,,0,0,,0,0,,,0,0,6,0,0,C,0,,,231,,0,,,,,0,0,,,0,,0,0,,C,0,0,40,0,,0,0,,0
AGO,,0,,C,17,0,,,0,1,18,,0,0,,13,0,0,,46,0,,0,0,0,179,,0,0,11,10,319,,,9,,0,,0,0,349,0,,56,39,8,0,1,,0,1,0,"1,313",0,0,0,110,,,495,,1,,,0,,C,398,C,1,80,C,0,0,,C,3,79,,0,,23,"1,383",,0
AIA,,0,,0,0,0,,,0,,0,,19,0,,834,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,42,15,,,0,,1,,,,,0,0,,,0,,0,0,,C,0,,,0,,0,678,,0
ATG,,0,,0,0,0,,,0,3,0,,3,0,,0,0,0,,0,0,,0,0,0,0,,0,0,0,1,0,,0,0,,0,,0,,0,0,,1,0,,0,0,,,0,0,30,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,,,0,,0,118,,0
ARG,,,0,252,226,132,6,,0,29,840,,364,1,"1,452","4,806","1,272",46,,234,1,1,5,11,1,"1,096",,0,0,282,753,"2,645",0,7,80,,37,0,0,2,"4,708",6,44,"2,951","1,060",75,0,178,,26,4,1,"15,625",0,5,C,0,14,,"2,454",,91,,,51,C,36,22,C,55,154,C,0,1,13,625,41,734,0,3,,"2,433","34,430",513,0
ARM,,0,,C,5,0,,,0,0,2,,,0,,1,0,0,,6,0,,0,0,0,29,,0,0,7,16,57,,,0,,0,,0,,45,0,1,33,7,,0,0,,1,16,0,401,0,0,0,0,,0,87,,0,,,,,C,0,,0,0,,0,0,,C,1,30,,0,,18,224,,0
