,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
AFG,,0,,0,0,0,,,0,,0,,1,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,C,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
ALB,,0,,C,45,0,,,0,2,0,,,105,2,0,0,0,,0,0,,0,0,0,26,,0,0,12,4,98,4,0,0,0,0,,0,,31,,114,0,,0,0,,,0,0,143,3,0,0,0,,,1,,0,,,,21,0,C,,0,,4,0,,C,0,7,,0,,14,173,,0
DZA,,0,,0,0,0,,,0,,0,,,0,,0,0,21,,0,0,,0,C,0,0,,0,0,,340,0,,,103,0,0,,0,,0,,0,0,193,0,0,,,0,0,0,0,0,0,49,,,0,,0,,,,0,10,,,0,,0,0,,C,0,0,,0,,14,0,,0
ASM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,20,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,14,0,,0,,,0
AND,,0,,0,0,0,,,0,0,0,,2,0,,0,3,0,,0,0,,0,0,0,0,,0,0,,0,1,,,0,0,0,,0,,4,,0,0,,0,0,,,0,0,14,0,0,C,0,,,210,,0,,,,0,0,,,0,,0,0,,37,0,0,,0,,0,0,,0
AGO,,0,,20,33,0,,,0,2,13,,1,0,,0,3,0,,52,0,,0,C,0,235,,0,0,33,27,455,,,17,0,0,,0,,574,,73,90,1,0,2,,0,1,0,"2,443",0,0,0,117,,,701,,1,,,,13,331,C,1,9,C,0,0,2,C,0,98,,0,,100,"2,175",,0
AIA,,0,,0,0,0,,,0,,0,,23,0,,"1,401",0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,44,15,,,0,,1,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
ATG,,0,,0,0,0,,,0,3,0,,4,0,,218,0,0,,0,0,,0,0,0,0,,0,0,0,1,0,,0,0,0,0,,0,,0,,2,0,,0,0,,,0,0,39,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,104,,0
ARG,,,0,347,142,123,6,,0,22,367,,59,0,"1,369","4,040",780,28,,100,0,1,17,C,3,649,,0,2,111,249,"1,082",0,4,55,0,34,0,0,1,"2,760",7,"2,281",543,52,0,33,,8,3,1,"9,170",0,6,C,1,18,,"1,566",,19,,19,C,C,7,3,95,10,C,0,0,8,318,49,510,0,1,,"1,520","22,485",258,0
ARM,,0,,C,12,0,,,0,0,2,,,0,,0,0,0,,8,0,,0,C,0,41,,0,0,13,4,95,2,,0,0,0,,0,,60,1,30,9,,0,0,,1,16,0,553,0,0,0,0,,,55,,0,,,,0,0,,2,0,C,0,0,,C,1,47,,0,,33,258,,0
