,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NAM,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
AFG,,0,,0,0,0,,,0,,0,,1,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
ALB,,0,,0,44,0,,,0,2,0,,,114,2,3,0,0,,0,0,0,0,0,0,50,,0,0,36,15,210,,0,0,0,0,,0,,91,,109,9,0,0,0,,0,0,0,236,0,0,0,0,,0,,26,,0,,,,,1,0,,,0,,0,37,,0,0,16,,0,,37,,,0
DZA,,0,,0,0,0,,,0,,0,,,0,,0,0,31,,0,0,0,0,0,0,0,,0,0,,275,0,,,150,0,0,,0,,0,,0,0,164,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,5,,,0,,0,0,,0,0,0,,0,,96,,,0
ASM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,12,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,27,0,,0,,,0
AND,,0,,0,9,0,,,0,0,0,,0,0,,0,3,0,,0,0,0,0,0,0,0,,0,0,,11,2,,,0,0,0,,0,,C,,0,0,0,0,0,,,0,0,21,0,0,C,0,,0,,164,,0,,,,,C,13,,,0,,0,0,,94,0,8,,0,,0,,,0
AGO,,0,,C,15,0,,,0,2,35,,2,0,,225,2,0,,0,0,0,0,C,0,207,,0,0,39,15,91,,,12,0,0,,0,,625,,65,85,4,0,0,,0,1,0,"1,869",0,0,0,156,,0,,604,,0,,,0,,13,435,C,C,9,C,0,0,2,C,0,111,,1,,157,,,0
AIA,,0,,0,0,0,,,0,0,0,,29,0,,"1,807",0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,52,11,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
ATG,,0,,0,0,0,,,0,2,0,,3,0,,7,0,0,,57,0,0,1,0,0,0,,0,0,C,1,0,,0,0,0,0,,0,,0,,2,0,0,0,0,,,0,0,277,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,C,0,,,0,,0,3,,0
ARG,,,0,430,92,133,6,,0,16,393,,88,0,"1,379","3,811",460,0,,4,0,0,3,C,0,560,,0,3,64,403,647,,5,30,0,18,1,0,1,"2,244",3,"1,977",474,12,1,92,,5,3,1,"6,355",0,0,C,2,18,0,C,"1,103",,32,,,22,C,C,6,C,68,8,C,0,0,30,299,25,342,1,0,,"1,438","18,285",184,0
ARM,,0,,0,7,0,,,0,,4,,,0,,5,0,0,,2,0,0,0,C,0,38,,0,0,15,5,125,,,0,0,0,,0,,102,1,19,6,1,0,1,,0,17,1,436,0,0,0,0,,0,,82,,0,,,,,0,0,,1,0,C,0,0,,0,1,27,,0,,65,279,,0
ABW,,0,,0,0,0,,,0,,2,,,0,58,36,0,0,,0,0,0,409,0,0,C,,0,0,,,4,,,0,0,0,,0,,9,,8,0,0,0,2,,,0,0,26,0,0,0,0,,0,,0,,0,,,40,,0,0,,C,0,,0,0,0,0,0,0,,0,,0,190,,0
AUS,31,0,30,,"3,064",162,162,,0,"5,155","15,890",,29,5,"26,125","47,560",145,"41,293","2,284","9,939",125,14,29,309,21,"3,366",,0,11,"2,376","36,480","39,886",7,79,"2,090",2,11,0,4,131,"47,954",627,"6,828","189,649","1,451","1,848","17,585",20,21,4,9,"51,567",0,"4,906","2,644",483,1,22,9,"34,335","33,220","30,020",,,31,225,42,437,0,126,"1,011","42,055",211,204,621,"2,889","6,642","26,441",753,3,,"64,552","381,048",408,0
AUT,7,0,2,"1,000",,20,18,,9,"12,190","1,063",1,79,323,"2,011","7,535",207,107,28,147,63,1,2,C,"4,012","2,118",3,0,89,"6,823","44,208","102,642",3,292,340,0,"1,351",0,150,,"15,573",139,"18,979","13,647",90,271,481,,79,0,64,"31,367",15,59,826,15,1,0,C,"52,239",,"5,258",,,8,,967,"1,115",792,186,118,921,"3,260","1,284",14,"4,386","1,391","18,319",1,1,,"10,832","25,160",1,2
AZE,,0,,C,45,0,20,,0,2,33,,,0,98,35,2,0,,32,0,0,0,3,0,223,,0,0,34,66,734,,,8,0,14,,0,,773,,116,40,4,0,10,,7,0,0,"1,203",0,0,C,0,,0,,607,,53,,,,,18,0,,83,0,,0,0,,0,4,193,,79,,470,"1,505",,0
BHS,,0,,15,18,,,,0,5,20,,627,0,537,122,534,452,,47,0,0,1,6,1,320,,0,4,C,90,150,,,0,0,0,,15,,185,,40,"1,611",11,48,79,,0,0,2,"2,279",0,0,C,0,,0,,466,,4,,,7,C,C,0,1,22,0,C,0,0,0,15,7,"2,223",,0,,"1,037","2,799",4,0
BHR,4,0,,C,58,0,,,0,1,22,,0,0,58,78,5,74,,81,0,0,0,1,0,290,23,0,0,67,149,665,,0,13,0,4,,0,0,"1,057",,218,96,4,0,2,"4,236",0,1,0,"2,774",0,1,C,0,,0,,653,,98,0,,,C,C,5,4,17,"7,765",66,0,0,45,11,17,292,,15,,438,"3,158",,7
